"","year","state","n","name","iso_3166_2","population","homeless_per_100k"
"1","2007","AK",1642,"Alaska","AK",675302,243.150471937
"2","2007","AL",5452,"Alabama","AL",4628981,117.779701407286
"3","2007","AR",3836,"Arkansas","AR",2821761,135.943476431916
"4","2007","AZ",14646,"Arizona","AZ",6029141,242.920177186103
"5","2007","CA",138986,"California","CA",36021202,385.844980964267
"6","2007","CO",14225,"Colorado","CO",4720423,301.350112055636
"7","2007","CT",4482,"Connecticut","CT",3517460,127.421491644539
"8","2007","DC",5320,"District of Columbia","DC",570681,932.219576260643
"9","2007","DE",1061,"Delaware","DE",859268,123.477192214769
"10","2007","FL",48069,"Florida","FL",18166990,264.595290689322
"11","2007","GA",19639,"Georgia","GA",9155813,214.497609333
"12","2007","HI",6070,"Hawaii","HI",1309731,463.453945886598
"13","2007","IA",2734,"Iowa","IA",2982644,91.6636380339055
"14","2007","ID",1749,"Idaho","ID",1468669,119.087418608277
"15","2007","IL",15487,"Illinois","IL",12643955,122.485409035385
"16","2007","IN",7358,"Indiana","IN",6332669,116.191135206972
"17","2007","KS",2111,"Kansas","KS",2762931,76.4043691282917
"18","2007","KY",8061,"Kentucky","KY",4219239,191.053410342481
"19","2007","LA",5494,"Louisiana","LA",4302665,127.68830480644
"20","2007","MA",15127,"Massachusetts","MA",6410084,235.987547121067
"21","2007","MD",9628,"Maryland","MD",5627367,171.092448742014
"22","2007","ME",2638,"Maine","ME",1323619,199.302065020221
"23","2007","MI",28295,"Michigan","MI",10036081,281.932758414365
"24","2007","MN",7323,"Minnesota","MN",5163555,141.820896649692
"25","2007","MO",6247,"Missouri","MO",5842704,106.919672809028
"26","2007","MS",1377,"Mississippi","MS",2904978,47.4013916800747
"27","2007","MT",1150,"Montana","MT",952692,120.710575925903
"28","2007","NC",11802,"North Carolina","NC",8917270,132.349923238839
"29","2007","ND",636,"North Dakota","ND",649422,97.9332390956882
"30","2007","NE",3531,"Nebraska","NE",1772693,199.188466361632
"31","2007","NH",2248,"New Hampshire","NH",1308389,171.81434573357
"32","2007","NJ",17314,"New Jersey","NJ",8661679,199.891960900421
"33","2007","NM",3015,"New Mexico","NM",1962137,153.658995268934
"34","2007","NV",8642,"Nevada","NV",2522658,342.575172694832
"35","2007","NY",NA,"New York","NY",19104631,NA
"36","2007","OH",11264,"Ohio","OH",11481213,98.1081005987782
"37","2007","OK",4221,"Oklahoma","OK",3594090,117.442801933174
"38","2007","OR",17590,"Oregon","OR",3670883,479.176263585628
"39","2007","PA",16220,"Pennsylvania","PA",12510809,129.647890875802
"40","2007","RI",1372,"Rhode Island","RI",1063096,129.05701836899
"41","2007","SC",5660,"South Carolina","SC",4357847,129.880649779582
"42","2007","SD",579,"South Dakota","SD",783033,73.9432437713353
"43","2007","TN",11210,"Tennessee","TN",6088766,184.109555203797
"44","2007","TX",39788,"Texas","TX",23359580,170.328404877142
"45","2007","UT",3011,"Utah","UT",2525507,119.223585600832
"46","2007","VA",9746,"Virginia","VA",7673725,127.004811874285
"47","2007","VT",1035,"Vermont","VT",622892,166.160425884423
"48","2007","WA",23379,"Washington","WA",6370753,366.973888329998
"49","2007","WI",5648,"Wisconsin","WI",5577655,101.261193099968
"50","2007","WV",2409,"West Virginia","WV",1827912,131.789714165671
"51","2007","WY",537,"Wyoming","WY",522667,102.742281414361
"52","2008","AK",1646,"Alaska","AK",680300,241.952079964721
"53","2008","AL",5387,"Alabama","AL",4672840,115.283211066503
"54","2008","AR",3255,"Arkansas","AR",2848650,114.26465167711
"55","2008","AZ",12488,"Arizona","AZ",6167681,202.474803739039
"56","2008","CA",136531,"California","CA",36250311,376.634010119251
"57","2008","CO",14747,"Colorado","CO",4803868,306.98179050715
"58","2008","CT",4627,"Connecticut","CT",3527270,131.177936477786
"59","2008","DC",6044,"District of Columbia","DC",574404,1052.22108481139
"60","2008","DE",933,"Delaware","DE",871749,107.026219703149
"61","2008","FL",50158,"Florida","FL",18367842,273.075084160676
"62","2008","GA",19095,"Georgia","GA",9349988,204.224861037255
"63","2008","HI",6061,"Hawaii","HI",1315675,460.676078818857
"64","2008","IA",3346,"Iowa","IA",2999212,111.56263711935
"65","2008","ID",1464,"Idaho","ID",1505105,97.2689613017032
"66","2008","IL",14724,"Illinois","IL",12695866,115.97475902786
"67","2008","IN",7395,"Indiana","IN",6379599,115.916376562226
"68","2008","KS",1738,"Kansas","KS",2783785,62.4329824321921
"69","2008","KY",8137,"Kentucky","KY",4256672,191.15872681757
"70","2008","LA",5481,"Louisiana","LA",4375581,125.263365025125
"71","2008","MA",14506,"Massachusetts","MA",6431559,225.54407104094
"72","2008","MD",9219,"Maryland","MD",5653408,163.06978021045
"73","2008","ME",2632,"Maine","ME",1327040,198.336146612009
"74","2008","MI",28248,"Michigan","MI",10001284,282.443734224526
"75","2008","MN",7644,"Minnesota","MN",5207203,146.796658397992
"76","2008","MO",7687,"Missouri","MO",5887612,130.562272106246
"77","2008","MS",1961,"Mississippi","MS",2928350,66.9660388956238
"78","2008","MT",1417,"Montana","MT",964706,146.884128428765
"79","2008","NC",12411,"North Carolina","NC",9118037,136.114823837631
"80","2008","ND",615,"North Dakota","ND",652822,94.2063839760302
"81","2008","NE",3985,"Nebraska","NE",1783440,223.444579015835
"82","2008","NH",2019,"New Hampshire","NH",1312540,153.823883462599
"83","2008","NJ",13832,"New Jersey","NJ",8677885,159.393677145987
"84","2008","NM",3015,"New Mexico","NM",1990070,151.502208465029
"85","2008","NV",8726,"Nevada","NV",2601072,335.477064840958
"86","2008","NY",61125,"New York","NY",19132335,319.485311123812
"87","2008","OH",12912,"Ohio","OH",11500468,112.273691818455
"88","2008","OK",3846,"Oklahoma","OK",3634349,105.823628936021
"89","2008","OR",20653,"Oregon","OR",3722417,554.82768319616
"90","2008","PA",15378,"Pennsylvania","PA",12563937,122.397939435704
"91","2008","RI",1196,"Rhode Island","RI",1057315,113.116715453767
"92","2008","SC",5660,"South Carolina","SC",4444110,127.359583808682
"93","2008","SD",579,"South Dakota","SD",791623,73.1408764020247
"94","2008","TN",9705,"Tennessee","TN",6175727,157.147490489784
"95","2008","TX",40190,"Texas","TX",23831983,168.638925262745
"96","2008","UT",3434,"Utah","UT",2597746,132.19152295875
"97","2008","VA",8469,"Virginia","VA",7751000,109.263320861824
"98","2008","VT",954,"Vermont","VT",623481,153.01188007333
"99","2008","WA",21954,"Washington","WA",6461587,339.761733456502
"100","2008","WI",5449,"Wisconsin","WI",5610775,97.1167084761018
"101","2008","WV",2016,"West Virginia","WV",1834052,109.920547509013
"102","2008","WY",751,"Wyoming","WY",534876,140.406374561581
"103","2009","AK",1992,"Alaska","AK",687455,289.764420943916
"104","2009","AL",6080,"Alabama","AL",4718206,128.862538007031
"105","2009","AR",2852,"Arkansas","AR",2874554,99.2153913267937
"106","2009","AZ",14721,"Arizona","AZ",6280362,234.397316587802
"107","2009","CA",123678,"California","CA",36604337,337.877995167622
"108","2009","CO",15268,"Colorado","CO",4889730,312.246279446922
"109","2009","CT",4605,"Connecticut","CT",3545579,129.880056261615
"110","2009","DC",6228,"District of Columbia","DC",580236,1073.35635844725
"111","2009","DE",1130,"Delaware","DE",883874,127.846276731751
"112","2009","FL",55599,"Florida","FL",18527305,300.092215246632
"113","2009","GA",20360,"Georgia","GA",9504843,214.206589209311
"114","2009","HI",5782,"Hawaii","HI",1332213,434.014680835572
"115","2009","IA",3380,"Iowa","IA",3016734,112.041698074805
"116","2009","ID",1939,"Idaho","ID",1534320,126.375202043902
"117","2009","IL",14055,"Illinois","IL",12747038,110.260909240249
"118","2009","IN",6984,"Indiana","IN",6424806,108.703671363773
"119","2009","KS",1892,"Kansas","KS",2808076,67.377093782362
"120","2009","KY",5999,"Kentucky","KY",4289878,139.840806661635
"121","2009","LA",12504,"Louisiana","LA",4435586,281.901872717607
"122","2009","MA",15482,"Massachusetts","MA",6468967,239.327237254418
"123","2009","MD",11698,"Maryland","MD",5684965,205.770835880256
"124","2009","ME",2444,"Maine","ME",1330509,183.689099434878
"125","2009","MI",14005,"Michigan","MI",9946889,140.797791148569
"126","2009","MN",7718,"Minnesota","MN",5247018,147.093072674803
"127","2009","MO",6959,"Missouri","MO",5923916,117.472968894225
"128","2009","MS",2797,"Mississippi","MS",2947806,94.884127381517
"129","2009","MT",1196,"Montana","MT",976415,122.488900723565
"130","2009","NC",12918,"North Carolina","NC",9309449,138.762240386085
"131","2009","ND",773,"North Dakota","ND",657569,117.554203437206
"132","2009","NE",3718,"Nebraska","NE",1796378,206.972029272236
"133","2009","NH",1645,"New Hampshire","NH",1315906,125.008929209229
"134","2009","NJ",13169,"New Jersey","NJ",8711090,151.175111266214
"135","2009","NM",3475,"New Mexico","NM",2010662,172.828650464374
"136","2009","NV",11089,"Nevada","NV",2653630,417.88041286841
"137","2009","NY",61067,"New York","NY",19212436,317.851416655337
"138","2009","OH",12700,"Ohio","OH",11515391,110.287180001096
"139","2009","OK",4838,"Oklahoma","OK",3668976,131.862405205158
"140","2009","OR",17309,"Oregon","OR",3768748,459.277192319571
"141","2009","PA",15096,"Pennsylvania","PA",12612285,119.6928233068
"142","2009","RI",1607,"Rhode Island","RI",1055003,152.321841738839
"143","2009","SC",4473,"South Carolina","SC",4528996,98.7636111844656
"144","2009","SD",731,"South Dakota","SD",799124,91.4751653060101
"145","2009","TN",10532,"Tennessee","TN",6247411,168.581833338642
"146","2009","TX",36761,"Texas","TX",24309039,151.223583951632
"147","2009","UT",3795,"Utah","UT",2663029,142.506897221172
"148","2009","VA",8852,"Virginia","VA",7833496,113.001908726321
"149","2009","VT",1214,"Vermont","VT",624151,194.504214525011
"150","2009","WA",22782,"Washington","WA",6562231,347.168516317088
"151","2009","WI",6525,"Wisconsin","WI",5640996,115.671062344309
"152","2009","WV",1667,"West Virginia","WV",1840310,90.5825648939581
"153","2009","WY",515,"Wyoming","WY",546043,94.3149165908179
"154","2010","AK",1863,"Alaska","AK",714021,260.916695727437
"155","2010","AL",6046,"Alabama","AL",4785161,126.348935803832
"156","2010","AR",2762,"Arkansas","AR",2922394,94.511554567933
"157","2010","AZ",13711,"Arizona","AZ",6408208,213.959971336761
"158","2010","CA",123480,"California","CA",37334079,330.743393991318
"159","2010","CO",15482,"Colorado","CO",5048254,306.680289858632
"160","2010","CT",4316,"Connecticut","CT",3579717,120.568190166988
"161","2010","DC",6539,"District of Columbia","DC",605126,1080.60139541186
"162","2010","DE",982,"Delaware","DE",899791,109.136455021222
"163","2010","FL",57551,"Florida","FL",18849890,305.312126489863
"164","2010","GA",19836,"Georgia","GA",9713454,204.211601763904
"165","2010","HI",5834,"Hawaii","HI",1363980,427.718881508527
"166","2010","IA",3014,"Iowa","IA",3050694,98.7971917209658
"167","2010","ID",2346,"Idaho","ID",1570986,149.332966684617
"168","2010","IL",14395,"Illinois","IL",12841249,112.099687499246
"169","2010","IN",6452,"Indiana","IN",6490590,99.4054469624487
"170","2010","KS",2024,"Kansas","KS",2858824,70.7983422554169
"171","2010","KY",6623,"Kentucky","KY",4347937,152.325114186337
"172","2010","LA",12482,"Louisiana","LA",4544951,274.634424001491
"173","2010","MA",16646,"Massachusetts","MA",6565036,253.555349886886
"174","2010","MD",10845,"Maryland","MD",5788409,187.357182258545
"175","2010","ME",2379,"Maine","ME",1327695,179.182718922644
"176","2010","MI",13058,"Michigan","MI",9877369,132.20119649271
"177","2010","MN",7869,"Minnesota","MN",5310903,148.166893652548
"178","2010","MO",8122,"Missouri","MO",5996052,135.455796580817
"179","2010","MS",2743,"Mississippi","MS",2970316,92.347076876669
"180","2010","MT",1615,"Montana","MT",990643,163.025428938578
"181","2010","NC",12191,"North Carolina","NC",9558979,127.534541084356
"182","2010","ND",799,"North Dakota","ND",674530,118.452848650171
"183","2010","NE",3877,"Nebraska","NE",1830025,211.855029302878
"184","2010","NH",1574,"New Hampshire","NH",1316708,119.540551132066
"185","2010","NJ",13737,"New Jersey","NJ",8803881,156.033458425892
"186","2010","NM",3475,"New Mexico","NM",2064741,168.301980732692
"187","2010","NV",11205,"Nevada","NV",2703440,414.471932056935
"188","2010","NY",65606,"New York","NY",19402920,338.124364786331
"189","2010","OH",12569,"Ohio","OH",11540766,108.909581911634
"190","2010","OK",5229,"Oklahoma","OK",3759596,139.084093078086
"191","2010","OR",19492,"Oregon","OR",3837972,507.87238677093
"192","2010","PA",14516,"Pennsylvania","PA",12712014,114.191189531415
"193","2010","RI",1282,"Rhode Island","RI",1053219,121.722072997164
"194","2010","SC",4473,"South Carolina","SC",4635894,96.4862440771942
"195","2010","SD",731,"South Dakota","SD",816299,89.5505200912901
"196","2010","TN",10276,"Tennessee","TN",6356585,161.659129862969
"197","2010","TX",35121,"Texas","TX",25244363,139.124128424235
"198","2010","UT",3284,"Utah","UT",2775426,118.324177982047
"199","2010","VA",9080,"Virginia","VA",8025787,113.135322430062
"200","2010","VT",1220,"Vermont","VT",625984,194.893160208568
"201","2010","WA",22878,"Washington","WA",6743060,339.28216566366
"202","2010","WI",6333,"Wisconsin","WI",5690204,111.296536995862
"203","2010","WV",2264,"West Virginia","WV",1854225,122.099529453006
"204","2010","WY",579,"Wyoming","WY",564516,102.565737729311
"205","2011","AK",2128,"Alaska","AK",722720,294.443214522913
"206","2011","AL",5558,"Alabama","AL",4801108,115.7649442587
"207","2011","AR",NA,"Arkansas","AR",2938538,NA
"208","2011","AZ",10504,"Arizona","AZ",6468732,162.381128171642
"209","2011","CA",125128,"California","CA",37700034,331.904209953763
"210","2011","CO",15116,"Colorado","CO",5119480,295.264362786846
"211","2011","CT",4456,"Connecticut","CT",3589759,124.130895695226
"212","2011","DC",6546,"District of Columbia","DC",620472,1055.0032878196
"213","2011","DE",1035,"Delaware","DE",907916,113.997330149485
"214","2011","FL",56687,"Florida","FL",19105533,296.704624780685
"215","2011","GA",20975,"Georgia","GA",9812280,213.762754426087
"216","2011","HI",6188,"Hawaii","HI",1378227,448.982642191743
"217","2011","IA",3134,"Iowa","IA",3065389,102.23824773952
"218","2011","ID",2199,"Idaho","ID",1584134,138.814014470998
"219","2011","IL",14009,"Illinois","IL",12861882,108.918741440794
"220","2011","IN",6196,"Indiana","IN",6516845,95.0766820447625
"221","2011","KS",2511,"Kansas","KS",2869917,87.4938195076722
"222","2011","KY",6034,"Kentucky","KY",4367882,138.144757573579
"223","2011","LA",9291,"Louisiana","LA",4575381,203.065056221547
"224","2011","MA",16664,"Massachusetts","MA",6611797,252.034356166712
"225","2011","MD",10208,"Maryland","MD",5844171,174.669769245287
"226","2011","ME",2447,"Maine","ME",1328257,184.226395945965
"227","2011","MI",13185,"Michigan","MI",9876589,133.497506072187
"228","2011","MN",7495,"Minnesota","MN",5348119,140.142730556295
"229","2011","MO",8989,"Missouri","MO",6010587,149.552780784972
"230","2011","MS",2306,"Mississippi","MS",2977999,77.4345458141524
